Type	File	Dataset	ClusterError	Errors	Score
1	bio2rdf.org---bio2rdf.org.nt	bio2rdf.org	[http://bio2rdf.org/mim:126660, http://bio2rdf.org/omim:126660]	2	1
1	bio2rdf.org---bio2rdf.org.nt	bio2rdf.org	[http://bio2rdf.org/omim:606774, http://bio2rdf.org/mim:606774]	2	1
1	bio2rdf.org---bio2rdf.org.nt	bio2rdf.org	[http://bio2rdf.org/pdb:121p, http://bio2rdf.org/pdb:121P]	2	1
1	bio2rdf.org---bio2rdf.org.nt	bio2rdf.org	[http://bio2rdf.org/pdb:1L4D, http://bio2rdf.org/pdb:1l4d]	2	1
1	bio2rdf.org---bio2rdf.org.nt	bio2rdf.org	[http://bio2rdf.org/pdb:1XZY, http://bio2rdf.org/pdb:1xzy]	2	1
1	bio2rdf.org---bio2rdf.org.nt	bio2rdf.org	[http://bio2rdf.org/pdb:2FIB, http://bio2rdf.org/pdb:2fib]	2	1
1	dbtropes.org---dbtropes.org.nt	dbtropes.org	[http://dbtropes.org/resource/Main/BizarreAlienBiology, http://dbtropes.org/resource/Main/BizarreNonhumanBiology]	2	1
1	eprints.soton.ac.uk---eprints.soton.ac.uk.nt	eprs.soton.ac.uk	[http://eprints.soton.ac.uk/id/person/ext-ff097c221d6b853170b8c47dabf2089d, http://eprints.soton.ac.uk/id/person/ext-fa897056f5cdb3e36532bae47d5a558a]	2	1
1	id.ndl.go.jp---id.ndl.go.jp.nt	id.ndl.go.jp	[http://id.ndl.go.jp/auth/ndlsh/00564240, http://id.ndl.go.jp/auth/bsh4/00041700]	2	1
2	bio2rdf.org---bio2rdf.org.nt	bio2rdf.org	[http://bio2rdf.org/pdb:1AXA, http://bio2rdf.org/pdb:1axa]	2	1
2	bio2rdf.org---bio2rdf.org.nt	bio2rdf.org	[http://bio2rdf.org/pdb:1q7q, http://bio2rdf.org/pdb:1Q7Q]	2	1
2	citeseer.rkbexplorer.com---kisti.rkbexplorer.com.nt	citeseer.rkbexplorer.com	[http://citeseer.rkbexplorer.com/id/resource-CS234829, http://citeseer.rkbexplorer.com/id/resource-CS268680]	2	1
